timestep,true_position,predicted_position,trajectory_error,path_error,nees,train_samples,test_id
37.0,[10629.52711088 10388.24718038    37.        ],[10638.87326231 10449.40623915    40.        ],[ 9.34615143 61.15905877  3.        ],[-56.45552366 -14.3028505   13.        ],0.014772074426795678,292,300
79.0,[10366.62758012 10009.21957078    79.        ],[10378.65336439 10142.31641562    80.        ],[ 12.02578427 133.09684485   1.        ],[-50.23689745  63.32970049  11.        ],0.06557795410175585,292,300
367.0,[8540.61686615 7369.82573902  367.        ],[8533.28929337 8051.4464671   370.        ],[ -7.32757277 681.62072808   3.        ],[-330.99173235  320.95062127   53.        ],1.7392055239173223,292,300
622.0,[7084.00132912 5094.02900297  622.        ],[6891.39029704 6246.76087685  620.        ],[-192.61103207 1152.73187388   -2.        ],[-635.61391794  668.11584193   68.        ],5.1524083361507635,292,300
767.0,[6424.0622812  4114.53907847  767.        ],[5912.8879856  5206.38768602  770.        ],[-511.1742956  1091.84860755    3.        ],[-854.33799299  741.28967777   53.        ],8.85105759369627,292,300
819.0,[6206.4326767  3787.93450209  819.        ],[5569.7242882  4855.82875623  820.        ],[-6.36708388e+02  1.06789425e+03  1.00000000e+00],[-874.23875161  837.22090984   31.        ],15.516448006988679,292,300
1128.0,[5089.89818404 2137.77636592 1128.        ],[3479.81244465 2679.81918792 1130.        ],[-1610.08573939   542.042822       2.        ],[-1160.09352785  1021.79650637   -68.        ],323.0869191922888,292,300
1230.0,[4793.04620859 1739.76176106 1230.        ],[2842.59140659 2025.29480568 1230.        ],[-1950.454802     285.53304462     0.        ],[-1183.94981799  1078.19242931  -120.        ],164.0069232431739,292,300
20.0,[11177.77560304  9392.69815391    20.        ],[11042.54356104  9296.48584024    20.        ],[-135.232042    -96.21231367    0.        ],[  0.   0. -20.],0.11015068874164231,53,301
380.0,[8239.12657858 7459.43218463  380.        ],[8635.19502588 7581.46405057  380.        ],[396.0684473  122.03186594   0.        ],[  62.21916217 -113.89084555   50.        ],0.632391083532849,53,301
429.0,[7489.57534057 6961.44701287  429.        ],[8301.34574075 7345.54133908  430.        ],[811.77040018 384.09432621   1.        ],[  67.46717027 -139.82546116  111.        ],2.9439502233519947,53,301
742.0,[5305.85799618 5494.89482691  742.        ],[6220.97474425 5879.29658504  740.        ],[915.11674807 384.40175813  -2.        ],[ 115.86184193 -181.54118138  118.        ],2.77503276931279,53,301
1049.0,[2507.47153012 3821.17706167 1049.        ],[4150.68488305 4420.40715391 1050.        ],[1.64321335e+03 5.99230092e+02 1.00000000e+00],[1242.26938377  316.69615852   61.        ],9.611491866551894,53,301
1102.0,[2418.230405   3766.38315976 1102.        ],[3816.58616276 4184.92768476 1100.        ],[1398.35575776  418.54452501   -2.        ],[1331.51050889  371.49006044    8.        ],6.805497540592838,53,301
0.0,[2256.26054589  454.62898201    0.        ],[2256.26054589  454.62898201    0.        ],[0. 0. 0.],[0. 0. 0.],0.0,500,302
47.0,[2262.56865037  532.35338712   47.        ],[2267.54269331  933.81170308   50.        ],[  4.97404293 401.45831595   3.        ],[ -4.82704247  21.09460395 -37.        ],43.66756364880529,500,302
135.0,[2246.79838918 1380.69105457  135.        ],[2302.29316167 1673.98795591  130.        ],[ 55.49477249 293.29690134  -5.        ],[ 40.75801098  13.72834483 -35.        ],10.19198569963359,500,302
256.0,[2234.36771271 2578.56556118  256.        ],[2318.48642337 2998.60549924  260.        ],[ 84.11871067 420.03993806   4.        ],[ 94.19416893  -6.8488569  -36.        ],11.607527189897045,500,302
416.0,[2156.62960163 4194.71991473  416.        ],[2227.41481235 4637.32779092  420.        ],[ 70.78521072 442.60787619   4.        ],[ 94.29363854  48.20342735 -36.        ],11.061443643839059,500,302
496.0,[2107.27796072 5004.60728307  496.        ],[2181.10989215 5413.28397248  500.        ],[ 73.83193144 408.67668941   4.        ],[ 97.15922647  22.69882707 -36.        ],8.600382721233485,500,302
643.0,[1971.28264946 6812.4477717   643.        ],[2076.26358697 6735.57866229  640.        ],[104.98093751 -76.86910941  -3.        ],[95.85265504 18.63536192  7.        ],0.20314694294615912,500,302
788.0,[1859.5920937  7955.60126304  788.        ],[1922.4243717  8233.39893624  790.        ],[ 62.832278  277.7976732   2.       ],[ 97.48239582 -27.89076644 -28.        ],2.008779527786896,500,302
864.0,[1772.20629343 8739.56018184  864.        ],[1826.09226492 8923.95726815  860.        ],[ 53.88597149 184.39708631  -4.        ],[ 83.84583243  -8.8775493  -24.        ],0.8329825213916778,500,302
23.0,[12001.53983491  9145.66684388    23.        ],[11864.66043427  9052.89082896    20.        ],[-136.87940064  -92.77601492   -3.        ],[  0.   0. -23.],0.10962417025578096,91,303
261.0,[10441.21163895  7927.40710492   261.        ],[10241.77981191  7949.02944908   260.        ],[-199.43182705   21.62234416   -1.        ],[-64.98187615 113.37032349 -21.        ],0.16961004610476643,91,303
382.0,[9654.55390402 7316.26257768  382.        ],[9434.33211136 7397.29048869  380.        ],[-220.22179265   81.02791101   -2.        ],[-85.3597818  173.17681161 -22.        ],0.24335158216791714,91,303
638.0,[7984.76154212 6027.17092681  638.        ],[7682.96765085 6204.04718216  640.        ],[-301.79389127  176.87625535    2.        ],[-167.16712383  268.26839177  -18.        ],0.5856814190688482,91,303
752.0,[7255.61887742 5474.77455994  752.        ],[6941.96863732 5701.31125955  750.        ],[-313.6502401   226.53669961   -2.        ],[-178.55951976  318.10572868  -22.        ],0.7439818968384104,91,303
1001.0,[5660.03950938 4252.95917021 1001.        ],[5252.44666087 4558.95085526 1000.        ],[-407.59284851  305.99168505   -1.        ],[-272.5618058   397.04519873  -21.        ],1.358302619831903,91,303
1112.0,[4964.29269193 3713.25136756 1112.        ],[4513.07374366 4060.99277721 1110.        ],[-451.21894827  347.74140965   -2.        ],[-317.11268314  437.98736984  -22.        ],1.7304356592954517,91,303
1249.0,[4079.30274012 3022.98708978 1249.        ],[3576.706988   3430.18435952 1250.        ],[-502.59575212  407.19726974    1.        ],[-368.74137216  497.49984905  -19.        ],2.273143843860695,91,303
0.0,[ 950.11185392 4976.29689205    0.        ],[ 950.11185392 4976.29689205    0.        ],[0. 0. 0.],[0. 0. 0.],0.0,51,304
369.0,[3770.0200882  6629.98154067  369.        ],[3356.49928822 6518.96796731  370.        ],[-413.52079998 -111.01357337    1.        ],[-97.85995827  90.54980115  51.        ],0.6226070211791617,51,304
591.0,[5319.95846501 7773.36013956  591.        ],[4721.01496343 7384.45228737  590.        ],[-598.94350158 -388.9078522    -1.        ],[  2.32353157 -10.15032059  99.        ],1.69299896844948,51,304
738.0,[6372.66978295 8687.69334533  738.        ],[5619.94963427 7950.75430502  740.        ],[-752.72014868 -736.93904031    2.        ],[ 131.57601775 -174.28588619  152.        ],3.4445472619390287,51,304
951.0,[ 7841.71599645 10021.34141575   951.        ],[6854.40947706 8738.87079366  950.        ],[-9.87306519e+02 -1.28247062e+03 -1.00000000e+00],[ 286.81692328 -441.21153054  219.        ],7.139151056328674,51,304
1031.0,[ 8741.54854703 10839.30759299  1031.        ],[7317.87912889 9040.61643823 1030.        ],[-1.42366942e+03 -1.79869115e+03 -1.00000000e+00],[ 392.89007839 -549.35906993  309.        ],13.906255037523211,51,304
